codigo_centro,nome_centro,coord,instit,website,nr_inv,nr_phd,nr_phd_int,nr_grupos,aval_2007
AGR-LVT-Lisboa-239,Centro de Estudos Florestais,Helena Margarida Nunes Pereira,Instituto Superior de Agronomia - Universidade Técnica de Lisboa,http://www.isa.utl.pt/cef/,102,55,45,8,Very Good
AGR-Norte-Braganca-690,Centro de Investigação de Montanha,Jaime Camilo Afonso Maldonado Pires,Escola Superior Agrária de Bragança - Instituto Politécnico de Bragança,http://www.esa.ipb.pt/investigacao.php?id=cimo,69,42,40,3,Good
AGR-Norte-VilaReal-4033,Centro de Investigação e de Tecnologias Agro-Ambientais e Biológicas,Eduardo Rosa,Universidade de Trás-os-Montes e Alto Douro,http://www.utad.citab.pt/,95,66,42,4,Very Good
AGR-Acores-PontaDelgada-153,Centro de Investigação e Tecnologia Agrária dos Açores - CITA - A,João da Silva Madruga,Universidade dos Açores,http://www.angra.uac.pt/dca/CITAA.asp,37,31,25,4,Good
AGR-LVT-Lisboa-276,Centro de Investigação Interdisciplinar em Sanidade Animal,Luis Manuel Morgado Tavares,Faculdade de Medicina Veterinária - Universidade Técnica de Lisboa,http://www.fmv.utl.pt/ciisa.php,112,71,72,4,Very Good
AGR-LVT-Lisboa-244,Centro de Pedologia,Manuel MADEIRA,Instituto Superior de Agronomia - Universidade Técnica de Lisboa,http://www.isa.utl.pt/cped/,27,22,15,6,Fair
AGR-Alentejo-Evora-115,Instituto de Ciências Agrárias Mediterrânicas - ICAM ,Maria do Rosário Gamito de Oliveira,Universidade de Évora,http://www.icam.uevora.pt/,157,107,70,8,Very Good
AGR-LVT-Lisboa-528,Química Ambiental,Fernanda Maria Miranda Cabral,Instituto Superior de Agronomia - Universidade Técnica de Lisboa,http://www.isa.utl.pt/dqaa/uiqa,35,26,12,2,Very Good
HESC-Centro-Aveiro-482,Centro de Biologia Celular,Edgar Figueiredo da Cruz e Silva,Universidade de Aveiro,http://www2.ii.ua.pt/cbc/uicbc.htm,23,8,8,4,Very Good
HESC-LVT-Lisboa-306,Centro de Cardiologia,Luciano Pinto Ravara,Associação para a Investigação e Desenvolvimento - Faculdade de Medicina da Universidade de Lisboa,"http://www.ul.pt/portal/page?_pageid=173,172799&_dad=portal&_schema=PORTAL",40,18,11,17,Very Good
HESC-Centro-Coimbra-4081,Centro de Ciências Forenses ,Duarte Nuno Pessoa Vieira,"Instituto Nacional de Medicina Legal, I. P.",n/a,86,21,7,5,Good
